Algorithm,Dataset,Mean(ms),Median(ms),Max(ms),Min(ms),Std(ms)
mergeSort,half_sorted_50000,246.20661989878627,245.29747999622487,274.90150000085123,244.81768600526266,3.9638580625626805
mergeSort,half_sorted_100000,522.8619280602252,521.404586994322,587.1097990020644,517.6216080144513,9.27132133051833
mergeSort,random_numbers_1000,3.3745706975671714,3.3648059761617333,4.462569020688534,3.3420899999327958,0.11019161459859485
mergeSort,random_numbers_5000,20.137839615780088,20.134983002208173,20.181171013973653,20.090876991162077,0.021060278918725427
mergeSort,random_numbers_10000,43.257719857119625,43.201640975894406,48.26938800397329,43.04964598850347,0.5211229744786667
mergeSort,random_numbers_50000,249.51684630430077,249.50561800505966,254.3317409872543,248.25896898983046,0.6477765095726965
mergeSort,random_numbers_100000,529.0107285757338,528.8405290048104,548.8239620171953,526.9041240098886,2.3905310650268414
mergeSort,reverse_1000,3.059380111282202,3.0459669942501932,4.318606981541961,3.032382985111326,0.12731918800768727
mergeSort,reverse_5000,18.02741106296184,18.025022000074387,18.062540009850636,17.996520007727668,0.01480229895603454
mergeSort,reverse_10000,38.37462614179881,38.36187900742516,38.510074984515086,38.28505499404855,0.04109694832170173
mergeSort,reverse_50000,218.1123251926196,217.98450400820002,220.094258984318,217.69911900628358,0.3910323100590839
mergeSort,reverse_100000,459.003982072134,459.00738099589944,460.9758690057788,458.01671998924576,0.5785427969131218
mergeSort,Sorted_1000,3.1106721529280863,3.102779999608174,3.8595939986407757,3.088880010182038,0.07585553320983725
mergeSort,Sorted_5000,18.493462750227238,18.49171199137345,18.555644986918196,18.443147011566907,0.024605918072078452
mergeSort,Sorted_10000,39.30550867884486,39.30195700377226,39.42448002635501,39.211630006320775,0.04169031012863375
mergeSort,Sorted_50000,223.36520944460943,223.34836100344546,225.66704999189824,222.70325501449406,0.37488967243864296
mergeSort,Sorted_100000,470.212362870995,469.6908740152139,490.86541502038017,468.4461909928359,2.9921187545488928
introSort,half_sorted_1000,2.032719657467114,2.02610797714442,2.2456939914263785,2.0107500022277236,0.027860120919672594
introSort,half_sorted_5000,11.510478825933967,11.497208994114771,11.624879989540204,11.41859099152498,0.052666245237210155
